rep,position,fraction,latency_ns,outlier
2,2558926,0.128051,38002,0
2,2566922,0.128451,35611,0
2,2574919,0.128852,35577,0
2,2582916,0.129252,35243,0
2,2590912,0.129652,34370,0
2,2594614,0.129837,65330,1
2,2598909,0.130052,35213,0
2,2606906,0.130452,35683,0
2,2614902,0.130852,35940,0
2,2617648,0.13099,73100,1
2,2617649,0.13099,71901,1
2,2617650,0.13099,67347,1
2,2617653,0.13099,66242,1
2,2622899,0.131252,35711,0
2,2630896,0.131653,35173,0
2,2638892,0.132053,34731,0
2,2646611,0.132439,65538,1
2,2646889,0.132453,36524,0
2,2654886,0.132853,35039,0
2,2662882,0.133253,35063,0
2,2667568,0.133488,69137,1
2,2667569,0.133488,64448,1
2,2667570,0.133488,67855,1
2,2667571,0.133488,69934,1
2,2667572,0.133488,65471,1
2,2670879,0.133653,34977,0
2,2678875,0.134054,36721,0
2,2686872,0.134454,36896,0
2,2694869,0.134854,35651,0
2,2702865,0.135254,35292,0
2,2710862,0.135654,36256,0
2,2718859,0.136054,35953,0
2,2725509,0.136387,64986,1
2,2726855,0.136455,37940,0
2,2734852,0.136855,35360,0
2,2742849,0.137255,35609,0
2,2750845,0.137655,35866,0
2,2756053,0.137916,63934,1
2,2758842,0.138055,36658,0
2,2766839,0.138455,36613,0
2,2771395,0.138683,64997,1
2,2774835,0.138856,34712,0
2,2776059,0.138917,65966,1
2,2782832,0.139256,35028,0
2,2789293,0.139579,68283,1
2,2789294,0.139579,63901,1
2,2790828,0.139656,34506,0
2,2798825,0.140056,35970,0
2,2806822,0.140456,34658,0
2,2814818,0.140856,34527,0
2,2822815,0.141256,35211,0
2,2830812,0.141657,36285,0
2,2838808,0.142057,34517,0
2,2846805,0.142457,36429,0
2,2850009,0.142617,69569,1
2,2850010,0.142617,64945,1
2,2854802,0.142857,35688,0
2,2862798,0.143257,35514,0
2,2870795,0.143657,34547,0
2,2874652,0.14385,71011,1
2,2874653,0.14385,66640,1
2,2878792,0.144058,35326,0
2,2886788,0.144458,36188,0
2,2894785,0.144858,35622,0
